swap_station_serial_id,state,previous_state,state_change_timestamp,event_type,location_latitude,location_longitude,city,last_updated_at
bs0017,Red,Green,2026-04-20 10:26:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:26:01
bs0023,Red,Green,2026-04-20 10:26:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:26:01
bs0025,Red,Green,2026-04-20 10:27:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:27:01
bs0007,Amber,Red,2026-04-20 10:27:01,STATE_CHANGE,-1.293519818,36.76162793,Kenya,2026-04-20 10:27:01
bs0030,Amber,Red,2026-04-20 10:29:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 10:29:01
bs0041,Amber,Red,2026-04-20 10:29:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 10:29:01
bs0035,Green,Amber,2026-04-20 10:30:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:30:01
bs0022,Red,Green,2026-04-20 10:30:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:30:01
bs0035,Red,Green,2026-04-20 10:32:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:32:01
bs0002,Green,Amber,2026-04-20 10:33:01,STATE_CHANGE,0.005700848267,37.07249942,Kenya,2026-04-20 10:33:01
bs0022,Amber,Red,2026-04-20 10:34:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:34:01
bs0023,Amber,Red,2026-04-20 10:35:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:35:01
bs0017,Amber,Red,2026-04-20 10:36:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:36:01
bs0007,Green,Amber,2026-04-20 10:36:01,STATE_CHANGE,-1.293519818,36.76162793,Kenya,2026-04-20 10:36:01
bs0041,Green,Amber,2026-04-20 10:38:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 10:38:01
bs0035,Amber,Red,2026-04-20 10:40:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:40:01
bs0029,Red,Green,2026-04-20 10:43:01,STATE_CHANGE,-0.4216641356,36.95238229,Kenya,2026-04-20 10:43:01
bs0030,Green,Amber,2026-04-20 10:44:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 10:44:01
bs0022,Green,Amber,2026-04-20 10:45:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:45:01
bs0023,Green,Amber,2026-04-20 10:45:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:45:01
bs0034,Amber,Red,2026-04-20 10:46:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:46:01
bs0026,Amber,Green,2026-04-20 10:46:01,STATE_CHANGE,-1.2152568,36.8918121,Kenya,2026-04-20 10:46:01
bs0017,Green,Amber,2026-04-20 10:48:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:48:01
bs0043,Red,Green,2026-04-20 10:48:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 10:48:01
bs0026,Green,Amber,2026-04-20 10:48:01,STATE_CHANGE,-1.2152568,36.8918121,Kenya,2026-04-20 10:48:01
bs0017,Red,Green,2026-04-20 10:50:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:50:01
bs0035,Green,Amber,2026-04-20 10:53:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:53:01
bs0025,Amber,Red,2026-04-20 10:58:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:58:01
bs0030,Grey,Green,2026-04-20 10:59:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 10:59:01
bs0034,Green,Amber,2026-04-20 10:59:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:59:01
bs0043,Amber,Red,2026-04-20 11:03:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 11:03:01
bs0035,Amber,Green,2026-04-20 11:04:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 11:04:01
bs0029,Amber,Red,2026-04-20 11:06:01,STATE_CHANGE,-0.4216641356,36.95238229,Kenya,2026-04-20 11:06:01
bs0061,Amber,Green,2026-04-20 11:07:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 11:07:01
bs0035,Green,Amber,2026-04-20 11:09:02,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 11:09:02
bs0025,Green,Amber,2026-04-20 11:09:02,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 11:09:02
bs0061,Green,Amber,2026-04-20 11:10:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 11:10:01
bs0029,Green,Amber,2026-04-20 11:14:01,STATE_CHANGE,-0.4216641356,36.95238229,Kenya,2026-04-20 11:14:01
bs0041,Red,Green,2026-04-20 11:15:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 11:15:01
bs0013,Red,Green,2026-04-20 11:16:02,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 11:16:02
bs0017,Amber,Red,2026-04-20 11:16:02,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 11:16:02
bs0031,Red,Green,2026-04-20 11:16:02,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 11:16:02
bs0043,Green,Amber,2026-04-20 11:16:02,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 11:16:02
bs0031,Amber,Red,2026-04-20 11:24:02,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 11:24:02
bs0017,Green,Amber,2026-04-20 11:29:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 11:29:01
bs0061,Red,Green,2026-04-20 11:29:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 11:29:01
bs0041,Amber,Red,2026-04-20 11:33:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 11:33:01
bs0031,Green,Amber,2026-04-20 11:35:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 11:35:01
bs0061,Amber,Red,2026-04-20 11:35:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 11:35:01
bs0013,Amber,Red,2026-04-20 11:37:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 11:37:01
bs0041,Green,Amber,2026-04-20 11:39:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 11:39:01
bs0061,Green,Amber,2026-04-20 11:41:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 11:41:01
bs0052,Red,Green,2026-04-20 11:44:01,STATE_CHANGE,-1.2735002,36.8262477,Kenya,2026-04-20 11:44:01
bs0013,Green,Amber,2026-04-20 11:52:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 11:52:01
bs0013,Red,Green,2026-04-20 11:53:02,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 11:53:02
bs0052,Amber,Red,2026-04-20 11:54:01,STATE_CHANGE,-1.2735002,36.8262477,Kenya,2026-04-20 11:54:01
bs0013,Amber,Red,2026-04-20 11:55:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 11:55:01
bs0041,Amber,Green,2026-04-20 11:59:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 11:59:01
bs0013,Green,Amber,2026-04-20 12:03:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 12:03:01
bs0052,Green,Amber,2026-04-20 12:04:01,STATE_CHANGE,-1.2735002,36.8262477,Kenya,2026-04-20 12:04:01
bs0021,Red,Green,2026-04-20 12:07:01,STATE_CHANGE,-1.2895575,36.7693693,Kenya,2026-04-20 12:07:01
bs0041,Green,Amber,2026-04-20 12:09:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 12:09:01
bs0033,Amber,Green,2026-04-20 12:16:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 12:16:01
bs0021,Amber,Red,2026-04-20 12:19:01,STATE_CHANGE,-1.2895575,36.7693693,Kenya,2026-04-20 12:19:01
bs0033,Green,Amber,2026-04-20 12:27:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 12:27:01
bs0021,Green,Amber,2026-04-20 12:28:01,STATE_CHANGE,-1.2895575,36.7693693,Kenya,2026-04-20 12:28:01
bs0033,Red,Green,2026-04-20 12:34:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 12:34:01
bs0041,Red,Green,2026-04-20 12:39:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 12:39:01
bs0059,Red,Green,2026-04-20 12:39:01,STATE_CHANGE,-1.288639944,36.8023879,Kenya,2026-04-20 12:39:01
bs0041,Amber,Red,2026-04-20 12:46:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 12:46:01
bs0033,Amber,Red,2026-04-20 12:49:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 12:49:01
bs0043,Red,Green,2026-04-20 12:49:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 12:49:01
bs0065,Amber,Green,2026-04-20 12:51:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 12:51:01
bs0059,Amber,Red,2026-04-20 12:54:01,STATE_CHANGE,-1.288639944,36.8023879,Kenya,2026-04-20 12:54:01
bs0031,Red,Green,2026-04-20 12:55:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 12:55:01
bs0041,Green,Amber,2026-04-20 12:56:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 12:56:01
bs0031,Amber,Red,2026-04-20 12:58:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 12:58:01
bs0065,Green,Amber,2026-04-20 13:00:02,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 13:00:02
bs0033,Green,Amber,2026-04-20 13:01:01,STATE_CHANGE,-1.2983013,36.7832031,Kenya,2026-04-20 13:01:01
bs0059,Green,Amber,2026-04-20 13:01:01,STATE_CHANGE,-1.288639944,36.8023879,Kenya,2026-04-20 13:01:01
bs0031,Green,Amber,2026-04-20 13:09:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 13:09:01
bs0051,Red,Green,2026-04-20 13:10:01,STATE_CHANGE,-1.308024666,36.81898027,Kenya,2026-04-20 13:10:01
bs0027,Amber,Green,2026-04-20 13:12:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 13:12:01
bs0065,Red,Green,2026-04-20 13:14:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 13:14:01
bs0042,Amber,Green,2026-04-20 13:14:01,STATE_CHANGE,-1.3138581,36.9152761,Kenya,2026-04-20 13:14:01
bs0027,Green,Amber,2026-04-20 13:15:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 13:15:01
bs0043,Amber,Red,2026-04-20 13:16:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 13:16:01
bs0042,Green,Amber,2026-04-20 13:23:01,STATE_CHANGE,-1.3138581,36.9152761,Kenya,2026-04-20 13:23:01
bs0043,Green,Amber,2026-04-20 13:26:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 13:26:01
bs0051,Amber,Red,2026-04-20 13:30:01,STATE_CHANGE,-1.308024666,36.81898027,Kenya,2026-04-20 13:30:01
bs0025,Red,Green,2026-04-20 13:32:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 13:32:01
bs0042,Red,Green,2026-04-20 13:33:01,STATE_CHANGE,-1.3138581,36.9152761,Kenya,2026-04-20 13:33:01
bs0065,Amber,Red,2026-04-20 13:35:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 13:35:01
bs0031,Red,Green,2026-04-20 13:35:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 13:35:01
bs0031,Amber,Red,2026-04-20 13:36:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 13:36:01
bs0013,Red,Green,2026-04-20 13:37:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 13:37:01
bs0043,Red,Green,2026-04-20 13:37:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 13:37:01
bs0051,Green,Amber,2026-04-20 13:38:01,STATE_CHANGE,-1.308024666,36.81898027,Kenya,2026-04-20 13:38:01
bs0065,Green,Amber,2026-04-20 13:50:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 13:50:01
bs0031,Green,Amber,2026-04-20 13:51:01,STATE_CHANGE,-1.293759326,36.85065024,Kenya,2026-04-20 13:51:01
bs0025,Amber,Red,2026-04-20 13:59:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 13:59:01
bs0042,Amber,Red,2026-04-20 14:02:01,STATE_CHANGE,-1.3138581,36.9152761,Kenya,2026-04-20 14:02:01
bs0065,Amber,Green,2026-04-20 14:05:01,STATE_CHANGE,-1.341161382,36.75036256,Kenya,2026-04-20 14:05:01
bs0025,Green,Amber,2026-04-20 14:14:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 14:14:01
